numPosto;numEndereco;tipo;concentrador;numLed;concentradorSecundario;numLedSecundario;coluna;capacidade;descricao
19;156339;FLOWRACK;;;;;;;
19;149985;FLOWRACK;;;;;;;
19;156340;FLOWRACK;;;;;;;
19;156341;FLOWRACK;;;;;;;
19;156342;FLOWRACK;;;;;;;
19;156343;FLOWRACK;;;;;;;
19;156344;FLOWRACK;;;;;;;
19;156345;FLOWRACK;;;;;;;
19;156346;FLOWRACK;;;;;;;
19;156347;FLOWRACK;;;;;;;
19;149986;FLOWRACK;;;;;;;
19;156348;FLOWRACK;;;;;;;
19;156349;FLOWRACK;;;;;;;
19;156350;FLOWRACK;;;;;;;
19;156351;FLOWRACK;;;;;;;
19;156352;FLOWRACK;;;;;;;
19;156353;FLOWRACK;;;;;;;
19;156354;FLOWRACK;;;;;;;
19;156355;FLOWRACK;;;;;;;
19;149971;FLOWRACK;;;;;;;
19;156356;FLOWRACK;;;;;;;
19;156357;FLOWRACK;;;;;;;
19;156358;FLOWRACK;;;;;;;
19;156359;FLOWRACK;;;;;;;
19;156360;FLOWRACK;;;;;;;
19;156361;FLOWRACK;;;;;;;
19;156362;FLOWRACK;;;;;;;
19;156363;FLOWRACK;;;;;;;
19;149972;FLOWRACK;;;;;;;
19;156364;FLOWRACK;;;;;;;
19;156365;FLOWRACK;;;;;;;
19;156366;FLOWRACK;;;;;;;
19;156367;FLOWRACK;;;;;;;
19;156368;FLOWRACK;;;;;;;
19;156369;FLOWRACK;;;;;;;
19;156370;FLOWRACK;;;;;;;
19;156371;FLOWRACK;;;;;;;
19;149973;FLOWRACK;;;;;;;
19;156372;FLOWRACK;;;;;;;
19;156373;FLOWRACK;;;;;;;
19;156374;FLOWRACK;;;;;;;
19;156375;FLOWRACK;;;;;;;
19;156376;FLOWRACK;;;;;;;
19;156377;FLOWRACK;;;;;;;
19;156378;FLOWRACK;;;;;;;
19;156379;FLOWRACK;;;;;;;
19;149974;FLOWRACK;;;;;;;
19;156380;FLOWRACK;;;;;;;
19;156381;FLOWRACK;;;;;;;
19;156382;FLOWRACK;;;;;;;
19;156383;FLOWRACK;;;;;;;
19;156384;FLOWRACK;;;;;;;
19;156385;FLOWRACK;;;;;;;
19;156386;FLOWRACK;;;;;;;
19;156387;FLOWRACK;;;;;;;
